"id","time_parse","channel","usr_parse","msg_parse"
5581,"2023-10-12 16:30:13","#atropa","FREEDOM_Tokens777!uid622718","Grav: I wouldn't say that i am not smart LOL. Just got loose pieces in my head: Liquidity, Arbitrage, Metcafles Law, Hearts Law, Wave Motion, maybe like fluid mechanics or hydraulics, and Sound/Frequency/Communication from A to B/ Oscillating Waves, and BLOCKCHAIN. Luke can all these things work together some how to create magic."
5582,"2023-10-12 16:30:39","#atropa","FREEDOM_Tokens777!uid622718","Like**"
5583,"2023-10-12 16:31:47","#atropa","Grav!~Grav","maria what is your native language?"
5584,"2023-10-12 16:31:50","#atropa","mariarahel!~maria","the parasites created in the 錨 class are ready to drink water and eat each other once i get back to it and re-fix the changes"
5585,"2023-10-12 16:31:51","#atropa","_surfacing8671!~oftc-webi","cryptography always hurt my head"
5586,"2023-10-12 16:32:24","#atropa","midnightmadwalk!uid622745","Second layer is dysnomia"
5587,"2023-10-12 16:32:37","#atropa","midnightmadwalk!uid622745","I saw commit names and it matches big bang"
5588,"2023-10-12 16:32:42","#atropa","alexander_as_helios!alexander_","👽️"
5589,"2023-10-12 16:32:51","#atropa","FREEDOM_Tokens777!uid622718","🧙‍♀️"
5590,"2023-10-12 16:33:04","#atropa","mariarahel!~maria","as long as there are no rejections it will move forward"
5591,"2023-10-12 16:33:09","#atropa","_surfacing8671!~oftc-webi","fluid dynamics is always fun tho"
5592,"2023-10-12 16:33:34","#atropa","GT!~gt","can you give an example of rejections?"
5593,"2023-10-12 16:33:39","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=_jOvSCMawGk"
5594,"2023-10-12 16:34:37","#atropa","mariarahel!~maria","i currently am not aware of any rejections that the Pi() function mentioned above provides a mathematical definition of the underlying basis for the specific organism-oriented compatibilities of water"
5597,"2023-10-12 16:35:21","#atropa","FREEDOM_Tokens777!uid622718","Friends, Maria is a Friend . Whatever you gotta do Maria, let it be done, lol!"
5598,"2023-10-12 16:35:54","#atropa","mariarahel!~maria","2 months is a very long time to go with no rejections of such a claim"
5599,"2023-10-12 16:36:06","#atropa","_surfacing8671!~oftc-webi","what about organisms not from this planet"
5600,"2023-10-12 16:36:57","#atropa","Grav!~Grav","""I didn't realize your soul was also for sale...."""
5601,"2023-10-12 16:37:06","#atropa","Grav!~Grav","How much maria?"
5602,"2023-10-12 16:37:08","#atropa","mariarahel!~maria","the big bang crew hang out at flappers in burbank sometimes"
5603,"2023-10-12 16:38:54","#atropa","Grav!~Grav","There seems to be an underlining theme. It's all very interdasting-"
5604,"2023-10-12 16:39:07","#atropa","FREEDOM_Tokens777!uid622718","Comedy clubs are good. People should also lighten up and enjoy the fun ."
5605,"2023-10-12 16:40:29","#atropa","Grav!~Grav","Put on the full armor of God, so that you will be able to stand firm against the schemes of the devil."
5606,"2023-10-12 16:40:30","#atropa","teddybearpulse!uid622740","@mariarahel: Do you think TSFI, TEDDYBEAR, ATROPA, PDAI are the safest investments destined to go up? What about CODE? Thank you Maria"
5607,"2023-10-12 16:41:06","#atropa","CryptoPaul!~oftc-webi","There is no such thing as safe investment"
5608,"2023-10-12 16:41:42","#atropa","FREEDOM_Tokens777!uid622718","mariarahel: I've had good intuition my whole life and it's never led me wrong. I'm not very smart when it comes to understanding complex computations, but I know I'm in good hands for the journey. If I'm wrong then I'll be wrong and learn from that and move forward like everything else in life."
5610,"2023-10-12 16:43:13","#atropa","_surfacing8671!~oftc-webi","teddybearpulse code has no minting functions that i am aware of."
5611,"2023-10-12 16:43:37","#atropa","Grav!~Grav","I can identify with Freedoms intuition."
5612,"2023-10-12 16:43:49","#atropa","teddybearpulse!uid622740","@_surfacing8671: me too, and i saw maria mentioned it"
5613,"2023-10-12 16:44:18","#atropa","_surfacing8671!~oftc-webi","oh nice."
5614,"2023-10-12 16:44:20","#atropa","CryptoPaul!~oftc-webi","Tell my an address of any token and I'll tell you if it can be minted"
5615,"2023-10-12 16:44:58","#atropa","CryptoPaul!~oftc-webi","It does not take more than 5 minutes usually"
5616,"2023-10-12 16:45:26","#atropa","_surfacing8671!~oftc-webi","https://library.dedaub.com/ is a great site to decompile but u need some prior knowledge of what you are looking for."
5619,"2023-10-12 16:45:56","#atropa","water!~oftc-webi","are these some form of zero-knowledge cryptography like zkSNARKs?"
5620,"2023-10-12 16:46:02","#atropa","CryptoPaul!~oftc-webi","Usually just _balanceOf()"
5621,"2023-10-12 16:46:09","#atropa","CryptoPaul!~oftc-webi","Usually just _balanceOf"
5622,"2023-10-12 16:46:29","#atropa","Tetragrammaton6!~oftc-webi","""to arrive at a common datapoint, without communicating it"""
5623,"2023-10-12 16:46:30","#atropa","house_!~house_","mariarahel: … i hear you loud and clear, thank you : ) … “https://www.youtube.com/watch?v=_jOvSCMawGk”"
5624,"2023-10-12 16:47:03","#atropa","_surfacing8671!~oftc-webi","or a require that states that it cant mint to zero address"
5625,"2023-10-12 16:47:05","#atropa","mariarahel!~maria","there are unlimited ways to introduce additional layers of cryptography to the blockchain but anything that introduces nature-like complexity is going to be more compelling"
5626,"2023-10-12 16:47:24","#atropa","_surfacing8671!~oftc-webi","yeah that sounds fun tbh"
5627,"2023-10-12 16:47:28","#atropa","Grav!~Grav","Facts!"
5628,"2023-10-12 16:48:12","#atropa","water!~oftc-webi","this looks like a core building block of Atropa's zero-knowledge implementation, defining proof construction and trusted setup generation while managing dependencies and resources effectively. The obfuscated naming and math heavy operations are indicative of the complexity in designing zero-knowledge systems."
5629,"2023-10-12 16:48:16","#atropa","Grav!~Grav","I love it, all of it; keep up the fantastic work."
5630,"2023-10-12 16:49:17","#atropa","FREEDOM_Tokens777!uid622718","OK here comes water out of nowhere with some alpha."
5632,"2023-10-12 16:50:50","#atropa","_surfacing8671!~oftc-webi","would it be zero knowledge if the the things that hold the keys couldnt understand what it unlocks anyways? or is the act of just seeing it makes it not zero knowledge"
5633,"2023-10-12 16:50:51","#atropa","mariarahel!~maria","especially when computing actual values"
5634,"2023-10-12 16:51:28","#atropa","Tetragrammaton6!~oftc-webi","i didn't realize dysnomia had a nature-like aspect to it, along with being comparative with the singularity! But my peanut brain did enjoy the alchemy text it created! Solve Et Coagula"
5635,"2023-10-12 16:52:08","#atropa","mariarahel!~maria","i am not clear on how the blockchain will be used yet, but parasites that can communicate with and eat each other leads the way to a mud-like OS i'm pretty sure"
5636,"2023-10-12 16:52:21","#atropa","_surfacing8671!~oftc-webi","thats why you have it set up for others to replicate and test"
5638,"2023-10-12 16:53:15","#atropa","midnightmadwalk!uid622745","What is denebola refers to ?"
5641,"2023-10-12 16:54:55","#atropa","_surfacing8671!~oftc-webi","what if the consumption of another parasite is what validates the next block?"
5642,"2023-10-12 16:55:33","#atropa","_surfacing8671!~oftc-webi","there will always be parasitic actors around."
5643,"2023-10-12 16:55:41","#atropa","teddybearpulse!uid622740","Any way you can explain this in a simpler way for less tech savvy people?"
5644,"2023-10-12 16:56:22","#atropa","water!~oftc-webi","by parasites do you mean some form of autonomous agents or AI that could be built on top of the core zero-knowledge primitives?"
5645,"2023-10-12 16:56:58","#atropa","mariarahel!~maria","they were working in a previous version before i figured out how water explicitly functions in the primitive digestion tract"
5646,"2023-10-12 16:57:35","#atropa","Grav!~Grav","0_0"
5647,"2023-10-12 16:57:38","#atropa","mariarahel!~maria","there's not a lot of functionality implied at Diatoms stage"
5649,"2023-10-12 16:58:35","#atropa","snowflake!uid622851","🙄"
5650,"2023-10-12 17:00:05","#atropa","water!~oftc-webi","so the math needs to be continually reviewed and enhanced as knowledge grows?"
5652,"2023-10-12 17:00:56","#atropa","mariarahel!~maria","the condensation cycle might end up being more complex than i am projecting but the equation is currently proving solid for Steam"
5653,"2023-10-12 17:01:13","#atropa","moose_!uid622835","when do you expect to begin production?"
5654,"2023-10-12 17:01:41","#atropa","mariarahel!~maria","i'm not moving forward at this time because the equation should be significant enough to impose for peer review"
5655,"2023-10-12 17:02:00","#atropa","Grav!~Grav","Sounds like an actual self sustaining eco-system, not just in theory."
5656,"2023-10-12 17:02:04","#atropa","mariarahel!~maria","an either it is or it is not kind of thing"
5657,"2023-10-12 17:02:29","#atropa","FREEDOM_Tokens777!uid622718","Let's see!!"
5658,"2023-10-12 17:03:14","#atropa","water!~oftc-webi","so basically start with core mathematical models that capture essential behavior, implement and test initial simulations, then refine equations as deeper complexities are revealed?"
5659,"2023-10-12 17:03:43","#atropa","mariarahel!~maria","zero mechanics"
5663,"2023-10-12 17:06:22","#atropa","water!~oftc-webi","An ambitious goal"
5668,"2023-10-12 17:08:38","#atropa","CryptoPaul!~oftc-webi","zero is e^iπ + 1"
5670,"2023-10-12 17:09:00","#atropa","mariarahel!~maria","then what's dt/dt ?"
5671,"2023-10-12 17:09:24","#atropa","mariarahel!~maria","everybody busts at dt/dt"
5676,"2023-10-12 17:10:32","#atropa","CryptoPaul!~oftc-webi","dt/dt = 1 in my universe, may be different in yours"
5677,"2023-10-12 17:10:40","#atropa","mariarahel!~maria","dt != dt is the first fact of the natural universe"
5678,"2023-10-12 17:10:43","#atropa","teddybearpulse!uid622740","Anyone can explain with simpler terms please?"
5683,"2023-10-12 17:11:25","#atropa","CryptoPaul!~oftc-webi","I said it's one in my universe, I'm not sure about yours"
5686,"2023-10-12 17:11:42","#atropa","mariarahel!~maria","throuwout the world"
5687,"2023-10-12 17:12:34","#atropa","jack!uid622758","Well dt doesn't have ""fixed"" change of time. So essentially dt != dt as a fact"
5688,"2023-10-12 17:12:36","#atropa","CryptoPaul!~oftc-webi","My universe is perhaps more mathematical, your Maria is perhaps more philosophical"
5689,"2023-10-12 17:12:37","#atropa","robin_!uid622846","Guauuu Veo todo esto y no se si seguir aumentando ni bolsa de pls gracias a Maria o ver esta obra y sentarme encima de mis manos"
5692,"2023-10-12 17:13:30","#atropa","Megury!uid622721","can you explain why $cia can mint another you?"
5693,"2023-10-12 17:13:50","#atropa","CryptoPaul!~oftc-webi","Nunca inviertas mas de lo que puedes perder."
5694,"2023-10-12 17:14:17","#atropa","mariarahel!~maria","i want to invision a blockchain future with a mod scene"
5698,"2023-10-12 17:14:56","#atropa","_surfacing8671!~oftc-webi","sega has like a mini chain thing going on."
5699,"2023-10-12 17:15:41","#atropa","Grav!~Grav","Someone phone Razor1911 - we needs mods!"
5700,"2023-10-12 17:15:49","#atropa","_surfacing8671!~oftc-webi","and bearachain they have a blockchain framework for easy deployments but not one that is a singular chain with mods that could be added into it"
5701,"2023-10-12 17:15:53","#atropa","teddybearpulse!uid622740","What do you mean with a mod scene?"
5702,"2023-10-12 17:15:59","#atropa","CryptoPaul!~oftc-webi","There is plenty of mods of blackchains, they call it forks"
5703,"2023-10-12 17:16:45","#atropa","SHVDXW9!~SHVDXW9","u mean like lusd front end mod?"
5704,"2023-10-12 17:17:11","#atropa","Megury!uid622721","Maria, when will you deploy the new token but without being able to mint it?"
5706,"2023-10-12 17:18:04","#atropa","CryptoPaul!~oftc-webi","Wouldn't be fun if there was no minting"
5707,"2023-10-12 17:18:59","#atropa","teddybearpulse!uid622740","@mariarahel: when will you deploy the second layer tokens?"
5711,"2023-10-12 17:21:45","#atropa","PulsePerza!~PulsePerz","Second layer tokens sound super interesting"
5716,"2023-10-12 17:24:12","#atropa","jack!uid622758","Some people are trying but most are just deploying layer 2s which are rubbish. It would be revolutionary to have a proper blockchain for like decentralised mod distribution....there would be nothing that wouldn't work anymore"
5718,"2023-10-12 17:25:23","#atropa","mariarahel!~maria","i imagine the wallet with a blockchain based presence that allows peers to query it for layer-2 data, menus, hierarchies, file shares, any number of things"
5719,"2023-10-12 17:25:49","#atropa","mariarahel!~maria","without any direct connecting"
5720,"2023-10-12 17:26:28","#atropa","_surfacing8671!~oftc-webi","like with an abstracted account kinda thing"
5721,"2023-10-12 17:27:04","#atropa","mariarahel!~maria","i have an imperfect concept of proxying prototyped out"
5722,"2023-10-12 17:28:08","#atropa","_surfacing8671!~oftc-webi","nice. does it work through a relay or bundler"
5723,"2023-10-12 17:28:39","#atropa","Megury!uid622721","@mariarahel: hello maria did u will doing something with this wallet 0x903030f7e2d6489F38B0f4F96F9b371ec7960F78 created tokens"
5724,"2023-10-12 17:29:00","#atropa","mariarahel!~maria","the micro-proxy is centralized and facilitates encryption handshakes between peers, it won't be able to decode any of the data but it would always sit in the middle with the wallets making only ever outgoing connections"
5725,"2023-10-12 17:30:36","#atropa","PassportPowell!~PassportP","Maria do you care much about Mark#etcap of your tokens?"
5726,"2023-10-12 17:31:26","#atropa","PassportPowell!~PassportP","Some people believe that one of your tokens will be the 1st to reach over 1bn mc"
5727,"2023-10-12 17:31:30","#atropa","water!~oftc-webi","Is this wallet related to the one RH has discussed developing? Or is it a separate project?"
